Metric,Scenario,Simulation Number,Timestep Number,Value
Total consumption budget,miningSiteExplorationProbability_0.1,0,10,7.2429145312171705
Weighted average sell price of final good,miningSiteExplorationProbability_0.1,0,10,0.03754529287171724
Final good output,miningSiteExplorationProbability_0.1,0,10,106.48374439033898
Renewable Energy market share,miningSiteExplorationProbability_0.1,0,10,0.051636579649227354
Final good capital productivity,miningSiteExplorationProbability_0.1,0,10,2.019260963528399
Renewable Energy capital productivity,miningSiteExplorationProbability_0.1,0,10,2.0
Fossil Fuel Energy capital productivity,miningSiteExplorationProbability_0.1,0,10,2.0
Material capital productivity,miningSiteExplorationProbability_0.1,0,10,2.0
Electricity price,miningSiteExplorationProbability_0.1,0,10,0.025256166556295003
Material price,miningSiteExplorationProbability_0.1,0,10,0.08066741570049027
Average ore extraction cost,miningSiteExplorationProbability_0.1,0,10,0.04297321725356226
Total ore reserves,miningSiteExplorationProbability_0.1,0,10,14385.09228606506
Material inventory of bankrupt material firms,miningSiteExplorationProbability_0.1,0,10,0.0
Cumulative number of bankruptcies,miningSiteExplorationProbability_0.1,0,10,1.0
Cumulative number of bankrupt material firms,miningSiteExplorationProbability_0.1,0,10,1.0
Cumulative number of bankrupt final good firms,miningSiteExplorationProbability_0.1,0,10,0.0
Total household dividend income,miningSiteExplorationProbability_0.1,0,10,1.232289246084037
Total NPL balance,miningSiteExplorationProbability_0.1,0,10,3.944085283421897
Commercial bank loan-to-deposit-ratio,miningSiteExplorationProbability_0.1,0,10,0.07349709998714435
Total consumption budget,miningSiteExplorationProbability_0.1,0,11,7.20334141197986
Weighted average sell price of final good,miningSiteExplorationProbability_0.1,0,11,0.04051750044471003
Final good output,miningSiteExplorationProbability_0.1,0,11,112.3234737738247
Renewable Energy market share,miningSiteExplorationProbability_0.1,0,11,0.04855472758680727
Final good capital productivity,miningSiteExplorationProbability_0.1,0,11,2.019260963528399
Renewable Energy capital productivity,miningSiteExplorationProbability_0.1,0,11,2.0
Fossil Fuel Energy capital productivity,miningSiteExplorationProbability_0.1,0,11,2.0
Material capital productivity,miningSiteExplorationProbability_0.1,0,11,2.0
Electricity price,miningSiteExplorationProbability_0.1,0,11,0.025065468543438933
Material price,miningSiteExplorationProbability_0.1,0,11,0.13416933425384603
Average ore extraction cost,miningSiteExplorationProbability_0.1,0,11,0.04668241194200886
Total ore reserves,miningSiteExplorationProbability_0.1,0,11,14361.73328034375
Material inventory of bankrupt material firms,miningSiteExplorationProbability_0.1,0,11,0.0
Cumulative number of bankruptcies,miningSiteExplorationProbability_0.1,0,11,1.0
Cumulative number of bankrupt material firms,miningSiteExplorationProbability_0.1,0,11,1.0
Cumulative number of bankrupt final good firms,miningSiteExplorationProbability_0.1,0,11,0.0
Total household dividend income,miningSiteExplorationProbability_0.1,0,11,1.3855578467354033
Total NPL balance,miningSiteExplorationProbability_0.1,0,11,4.021829329390808
Commercial bank loan-to-deposit-ratio,miningSiteExplorationProbability_0.1,0,11,0.08620258651463641
Total consumption budget,miningSiteExplorationProbability_0.1,0,12,7.56052705729799
Weighted average sell price of final good,miningSiteExplorationProbability_0.1,0,12,0.042872609986644626
Final good output,miningSiteExplorationProbability_0.1,0,12,119.45283782368308
Renewable Energy market share,miningSiteExplorationProbability_0.1,0,12,0.031726523843214914
Final good capital productivity,miningSiteExplorationProbability_0.1,0,12,2.019260963528399
Renewable Energy capital productivity,miningSiteExplorationProbability_0.1,0,12,2.0
Fossil Fuel Energy capital productivity,miningSiteExplorationProbability_0.1,0,12,2.0
Material capital productivity,miningSiteExplorationProbability_0.1,0,12,2.0
Electricity price,miningSiteExplorationProbability_0.1,0,12,0.024766278825767568
Material price,miningSiteExplorationProbability_0.1,0,12,0.0708916369507977
Average ore extraction cost,miningSiteExplorationProbability_0.1,0,12,0.056302625762214314
Total ore reserves,miningSiteExplorationProbability_0.1,0,12,14294.829163518683
Material inventory of bankrupt material firms,miningSiteExplorationProbability_0.1,0,12,0.0
Cumulative number of bankruptcies,miningSiteExplorationProbability_0.1,0,12,1.0
Cumulative number of bankrupt material firms,miningSiteExplorationProbability_0.1,0,12,1.0
Cumulative number of bankrupt final good firms,miningSiteExplorationProbability_0.1,0,12,0.0
Total household dividend income,miningSiteExplorationProbability_0.1,0,12,3.948552532596416
Total NPL balance,miningSiteExplorationProbability_0.1,0,12,5.625332101980796
Commercial bank loan-to-deposit-ratio,miningSiteExplorationProbability_0.1,0,12,0.09441324890806767
Total consumption budget,miningSiteExplorationProbability_0.1,0,13,9.509374426081258
Weighted average sell price of final good,miningSiteExplorationProbability_0.1,0,13,0.04655155757896238
Final good output,miningSiteExplorationProbability_0.1,0,13,182.8123379876802
Renewable Energy market share,miningSiteExplorationProbability_0.1,0,13,0.015398643919964285
Final good capital productivity,miningSiteExplorationProbability_0.1,0,13,2.0788515221403077
Renewable Energy capital productivity,miningSiteExplorationProbability_0.1,0,13,2.0
Fossil Fuel Energy capital productivity,miningSiteExplorationProbability_0.1,0,13,2.0
Material capital productivity,miningSiteExplorationProbability_0.1,0,13,2.0
Electricity price,miningSiteExplorationProbability_0.1,0,13,0.023026158233048113
Material price,miningSiteExplorationProbability_0.1,0,13,0.07118174405054224
Average ore extraction cost,miningSiteExplorationProbability_0.1,0,13,0.06170113158660567
Total ore reserves,miningSiteExplorationProbability_0.1,0,13,14274.049333625742
Material inventory of bankrupt material firms,miningSiteExplorationProbability_0.1,0,13,0.0
Cumulative number of bankruptcies,miningSiteExplorationProbability_0.1,0,13,1.0
Cumulative number of bankrupt material firms,miningSiteExplorationProbability_0.1,0,13,1.0
Cumulative number of bankrupt final good firms,miningSiteExplorationProbability_0.1,0,13,0.0
Total household dividend income,miningSiteExplorationProbability_0.1,0,13,1.713647992796631
Total NPL balance,miningSiteExplorationProbability_0.1,0,13,8.004640908960344
Commercial bank loan-to-deposit-ratio,miningSiteExplorationProbability_0.1,0,13,0.10785921365577264
Total consumption budget,miningSiteExplorationProbability_0.1,0,14,8.195621922152432
Weighted average sell price of final good,miningSiteExplorationProbability_0.1,0,14,0.03905274823411838
Final good output,miningSiteExplorationProbability_0.1,0,14,194.8223503051792
Renewable Energy market share,miningSiteExplorationProbability_0.1,0,14,0.0
Final good capital productivity,miningSiteExplorationProbability_0.1,0,14,2.0788515221403077
Renewable Energy capital productivity,miningSiteExplorationProbability_0.1,0,14,2.0
Fossil Fuel Energy capital productivity,miningSiteExplorationProbability_0.1,0,14,2.0
Material capital productivity,miningSiteExplorationProbability_0.1,0,14,2.0
Electricity price,miningSiteExplorationProbability_0.1,0,14,0.022481802837694104
Material price,miningSiteExplorationProbability_0.1,0,14,0.0754129450702119
Average ore extraction cost,miningSiteExplorationProbability_0.1,0,14,0.09516831385340985
Total ore reserves,miningSiteExplorationProbability_0.1,0,14,14193.969767534574
Material inventory of bankrupt material firms,miningSiteExplorationProbability_0.1,0,14,0.0
Cumulative number of bankruptcies,miningSiteExplorationProbability_0.1,0,14,1.0
Cumulative number of bankrupt material firms,miningSiteExplorationProbability_0.1,0,14,1.0
Cumulative number of bankrupt final good firms,miningSiteExplorationProbability_0.1,0,14,0.0
Total household dividend income,miningSiteExplorationProbability_0.1,0,14,7.343471012560253
Total NPL balance,miningSiteExplorationProbability_0.1,0,14,8.277147563229812
Commercial bank loan-to-deposit-ratio,miningSiteExplorationProbability_0.1,0,14,0.11812836413051875
Total consumption budget,miningSiteExplorationProbability_0.1,0,15,11.865202472140494
Weighted average sell price of final good,miningSiteExplorationProbability_0.1,0,15,0.03643248853992838
Final good output,miningSiteExplorationProbability_0.1,0,15,244.7252572374269
Renewable Energy market share,miningSiteExplorationProbability_0.1,0,15,0.059740359781332346
Final good capital productivity,miningSiteExplorationProbability_0.1,0,15,2.0788515221403077
Renewable Energy capital productivity,miningSiteExplorationProbability_0.1,0,15,2.0
Fossil Fuel Energy capital productivity,miningSiteExplorationProbability_0.1,0,15,2.0
Material capital productivity,miningSiteExplorationProbability_0.1,0,15,2.0
Electricity price,miningSiteExplorationProbability_0.1,0,15,0.02166582737538969
Material price,miningSiteExplorationProbability_0.1,0,15,0.09204538794356362
Average ore extraction cost,miningSiteExplorationProbability_0.1,0,15,0.10496312984479554
Total ore reserves,miningSiteExplorationProbability_0.1,0,15,14174.922981700827
Material inventory of bankrupt material firms,miningSiteExplorationProbability_0.1,0,15,0.0
Cumulative number of bankruptcies,miningSiteExplorationProbability_0.1,0,15,1.0
Cumulative number of bankrupt material firms,miningSiteExplorationProbability_0.1,0,15,1.0
Cumulative number of bankrupt final good firms,miningSiteExplorationProbability_0.1,0,15,0.0
Total household dividend income,miningSiteExplorationProbability_0.1,0,15,2.4687486758831767
Total NPL balance,miningSiteExplorationProbability_0.1,0,15,8.642944764064225
Commercial bank loan-to-deposit-ratio,miningSiteExplorationProbability_0.1,0,15,0.13846128428311127
Total consumption budget,miningSiteExplorationProbability_0.1,0,16,9.067201466014357
Weighted average sell price of final good,miningSiteExplorationProbability_0.1,0,16,0.0349663936327352
Final good output,miningSiteExplorationProbability_0.1,0,16,278.14864561302187
Renewable Energy market share,miningSiteExplorationProbability_0.1,0,16,0.06441665996546524
Final good capital productivity,miningSiteExplorationProbability_0.1,0,16,2.0788515221403077
Renewable Energy capital productivity,miningSiteExplorationProbability_0.1,0,16,2.0
Fossil Fuel Energy capital productivity,miningSiteExplorationProbability_0.1,0,16,2.0
Material capital productivity,miningSiteExplorationProbability_0.1,0,16,2.0
Electricity price,miningSiteExplorationProbability_0.1,0,16,0.021233239612564705
Material price,miningSiteExplorationProbability_0.1,0,16,0.11725672107651573
Average ore extraction cost,miningSiteExplorationProbability_0.1,0,16,0.0665072217683595
Total ore reserves,miningSiteExplorationProbability_0.1,0,16,14143.72218102424
Material inventory of bankrupt material firms,miningSiteExplorationProbability_0.1,0,16,0.0
Cumulative number of bankruptcies,miningSiteExplorationProbability_0.1,0,16,1.0
Cumulative number of bankrupt material firms,miningSiteExplorationProbability_0.1,0,16,1.0
Cumulative number of bankrupt final good firms,miningSiteExplorationProbability_0.1,0,16,0.0
Total household dividend income,miningSiteExplorationProbability_0.1,0,16,4.3778842805515135
Total NPL balance,miningSiteExplorationProbability_0.1,0,16,8.735047732022332
Commercial bank loan-to-deposit-ratio,miningSiteExplorationProbability_0.1,0,16,0.16981880291652776
Total consumption budget,miningSiteExplorationProbability_0.1,0,17,10.724706828463004
Weighted average sell price of final good,miningSiteExplorationProbability_0.1,0,17,0.03311111307946831
Final good output,miningSiteExplorationProbability_0.1,0,17,279.53890825135454
Renewable Energy market share,miningSiteExplorationProbability_0.1,0,17,0.18108548420081763
Final good capital productivity,miningSiteExplorationProbability_0.1,0,17,2.0788515221403077
Renewable Energy capital productivity,miningSiteExplorationProbability_0.1,0,17,2.0
Fossil Fuel Energy capital productivity,miningSiteExplorationProbability_0.1,0,17,2.0
Material capital productivity,miningSiteExplorationProbability_0.1,0,17,2.0
Electricity price,miningSiteExplorationProbability_0.1,0,17,0.021229722986275307
Material price,miningSiteExplorationProbability_0.1,0,17,0.1526262134699233
Average ore extraction cost,miningSiteExplorationProbability_0.1,0,17,0.07992335597801505
Total ore reserves,miningSiteExplorationProbability_0.1,0,17,14022.79236351304
Material inventory of bankrupt material firms,miningSiteExplorationProbability_0.1,0,17,0.0
Cumulative number of bankruptcies,miningSiteExplorationProbability_0.1,0,17,1.0
Cumulative number of bankrupt material firms,miningSiteExplorationProbability_0.1,0,17,1.0
Cumulative number of bankrupt final good firms,miningSiteExplorationProbability_0.1,0,17,0.0
Total household dividend income,miningSiteExplorationProbability_0.1,0,17,9.69274573568553
Total NPL balance,miningSiteExplorationProbability_0.1,0,17,10.154107328934854
Commercial bank loan-to-deposit-ratio,miningSiteExplorationProbability_0.1,0,17,0.17938669881298228
Total consumption budget,miningSiteExplorationProbability_0.1,0,18,14.364050975134406
Weighted average sell price of final good,miningSiteExplorationProbability_0.1,0,18,0.03619941022791969
Final good output,miningSiteExplorationProbability_0.1,0,18,316.43344995359087
Renewable Energy market share,miningSiteExplorationProbability_0.1,0,18,0.2273505839150219
Final good capital productivity,miningSiteExplorationProbability_0.1,0,18,2.0788515221403077
Renewable Energy capital productivity,miningSiteExplorationProbability_0.1,0,18,2.0
Fossil Fuel Energy capital productivity,miningSiteExplorationProbability_0.1,0,18,2.0
Material capital productivity,miningSiteExplorationProbability_0.1,0,18,2.0
Electricity price,miningSiteExplorationProbability_0.1,0,18,0.021155340465674383
Material price,miningSiteExplorationProbability_0.1,0,18,0.0971037990641276
Average ore extraction cost,miningSiteExplorationProbability_0.1,0,18,0.08997866365867849
Total ore reserves,miningSiteExplorationProbability_0.1,0,18,14002.601436918358
Material inventory of bankrupt material firms,miningSiteExplorationProbability_0.1,0,18,0.0
Cumulative number of bankruptcies,miningSiteExplorationProbability_0.1,0,18,1.0
Cumulative number of bankrupt material firms,miningSiteExplorationProbability_0.1,0,18,1.0
Cumulative number of bankrupt final good firms,miningSiteExplorationProbability_0.1,0,18,0.0
Total household dividend income,miningSiteExplorationProbability_0.1,0,18,2.4351211542385243
